name,url,remote_support,adaptive_support,duration,test_type
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,11.0,"S,Remote,Testing"
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,13.0,"K,Remote,Testing"
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,13.0,"K,Remote,Testing"
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,5.0,"K,S,Remote,Testing"
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,8.0,"K,Remote,Testing"
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,7.0,"K,Remote,Testing"
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,20.0,"B,S,Remote,Testing"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30.0,"B,P,S,Remote,Testing"
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,9.0,"K,Remote,Testing"
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,4.0,"S,Remote,Testing"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,5.0,"K,Remote,Testing"
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,5.0,"K,Remote,Testing"
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,3.0,"K,Remote,Testing"
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,14.0,"K,Remote,Testing"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,25.0,"K,Remote,Testing"
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,10.0,"P,Remote,Testing"
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,No,3.0,"K,Remote,Testing"
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,8.0,"K,Remote,Testing"
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,7.0,"K,Remote,Testing"
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,,"P,Remote,Testing"
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,,"P,Remote,Testing"
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,10.0,"K,Remote,Testing"
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,11.0,"K,Remote,Testing"
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,17.0,"K,Remote,Testing"
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,,"P,Remote,Testing"
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11.0,"K,Remote,Testing"
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,13.0,"K,Remote,Testing"
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,14.0,"K,Remote,Testing"
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,8.0,"K,Remote,Testing"
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,15.0,"K,Remote,Testing"
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,18.0,"K,Remote,Testing"
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,7.0,"K,Remote,Testing"
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,0.0,"K,Remote,Testing"
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,4.0,"K,Remote,Testing"
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,,"P,Remote,Testing"
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,,"P,Remote,Testing"
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,19.0,"C,P,Remote,Testing"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,19.0,"P,C,Remote,Testing"
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,14.0,"C,P,Remote,Testing"
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,20.0,"C,P,Remote,Testing"
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,20.0,"C,P,Remote,Testing"
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,18.0,"P,C,Remote,Testing"
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,Yes,No,9.0,"K,Remote,Testing"
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,Yes,No,,"B,Remote,Testing"
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,,"B,Remote,Testing"
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,,"B,Remote,Testing"
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,Yes,No,7.0,"K,Remote,Testing"
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,Yes,No,3.0,"K,Remote,Testing"
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,Yes,No,3.0,"K,Remote,Testing"
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,Yes,No,9.0,"K,Remote,Testing"
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,9.0,"K,Remote,Testing"
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,10.0,"K,Remote,Testing"
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,8.0,"K,Remote,Testing"
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,8.0,"K,Remote,Testing"
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,7.0,"K,Remote,Testing"
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,Yes,No,6.0,"K,Remote,Testing"
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,Yes,No,7.0,"K,Remote,Testing"
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,Yes,No,44.0,"A,B,P,Remote,Testing"
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes,50.0,"A,B,P,Remote,Testing"
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,Yes,Yes,50.0,"A,B,P,S,Remote,Testing"
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,55.0,"S,A,B,K,P,Remote,Testing"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No,19.0,"B,Remote,Testing"
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No,19.0,"B,Remote,Testing"
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No,19.0,"B,Remote,Testing"
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,24.0,"B,K,Remote,Testing"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes,No,30.0,"A,B,P,Remote,Testing"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,19.0,"B,C,Remote,Testing"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No,20.0,"P,B,Remote,Testing"
